Index,Name,Price (MAD),Price Text,Image URL,Product URL,Page
1,"ODYSSEY ODS-AGM470FTT 12V 214Ah 1300A BATTERIE MARINE",930013280.0,"9300dhs
13280dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODS-AGM470FTT-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-ods-agm470ftt-12v-214ah-1300a-batterie-marine/",1
2,"ODYSSEY ODP-ACEDINC 12V 215Ah 1250A BATTERIE MARINE",820011700.0,"8200dhs
11700dhs","https://batteryshop.ma/wp-content/uploads/2025/05/ODP-ACEDINC-e1746182409464-300x300.png","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-acedinc-12v-215ah-1250a-batterie-marine/",1
3,"ODYSSEY ODP-AGMDINC 12V 215Ah 1250A BATTERIE MARINE",760010700.0,"7600dhs
10700dhs","https://batteryshop.ma/wp-content/uploads/2025/05/ODP-AGMDINC-300x300.jpeg","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-agmdinc-12v-215ah-1250a-batterie-marine/",1
4,"ODYSSEY 625-DINC-1500 12V 220Ah 1500A BATTERIE MARINE",730010450.0,"7300dhs
10450dhs","https://batteryshop.ma/wp-content/uploads/2025/05/ODYSSEY-625-DIN-1500.avif","https://batteryshop.ma/shop/batteries-marines/odyssey-625-dinc-1500-12v-220ah-1500a-batterie-marine/",1
5,"ODYSSEY ODS-AGM6M 12V 214Ah 1225A BATTERIE MARINE",705010050.0,"7050dhs
10050dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODS-AGM6M-1-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-ods-agm6m-12v-214ah-1225a-batterie-marine/",1
6,"ODYSSEY ODX-AGM31M 12V 100Ah 1150A BATTERIE MARINE",63809115.0,"6380dhs
9115dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODX-AGM31M-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-odx-agm31m-12v-100ah-1150a-batterie-marine/",1
7,"ODYSSEY ODP-AGMDINB 12V 170Ah 1300A BATTERIE MARINE",55007860.0,"5500dhs
7860dhs","https://batteryshop.ma/wp-content/uploads/2025/05/ODP-AGMDINB-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-agmdinb-12v-170ah-1300a-batterie-marine/",1
8,"ODYSSEY ODX-AGM27M 12V 92Ah 930A BATTERIE MARINE",52807550.0,"5280dhs
7550dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODX-AGM27M-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-odx-agm27m-12v-92ah-930a-batterie-marine/",1
9,"ODYSSEY ODP-AGM31M 12V 63Ah 725A BATTERIE MARINE",52007430.0,"5200dhs
7430dhs","https://batteryshop.ma/wp-content/uploads/2025/05/ODP-AGM31M-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-agm31m-12v-63ah-725a-batterie-marine/",1
10,"ODYSSEY ODX-AGM24M 12V 76Ah 840A BATTERIE MARINE",47006700.0,"4700dhs
6700dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODYSSEY-ODX-AGM24M-e1746022842782-300x300.jpg","https://batteryshop.ma/shop/batteries-marines/odyssey-odx-agm24m-12v-76ah-840a-batterie-marine/",1
11,"OPTIMA JAUNE YT S 5.5 12V 75AH 975A",45006429.0,"4500dhs
6429dhs","https://batteryshop.ma/wp-content/uploads/2023/02/OPTIMA-JAUNE-YT-S-5.5-300x300.webp","https://batteryshop.ma/shop/batteries-poids-lourd/optima-jaune-yts-5-5-12v-75ah-975a/",1
12,"ODYSSEY ODP-AGM27M 12V 85Ah 850A BATTERIE MARINE",42706100.0,"4270dhs
6100dhs","https://batteryshop.ma/wp-content/uploads/2025/05/ODP-AGM27M-300x300.jpeg","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-agm27m-12v-85ah-850a-batterie-marine/",1
13,"ODYSSEY ODP-AGM24M 12V 63Ah 725A BATTERIE MARINE",42006000.0,"4200dhs
6000dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODP-AGM24M-300x300.jpeg","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-agm24m-12v-63ah-725a-batterie-marine/",2
14,"ODYSSEY ODX-AGM34M 12V 68Ah 850A BATTERIE MARINE",41805960.0,"4180dhs
5960dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODX-AGM34M-300x300.jpeg","https://batteryshop.ma/shop/batteries-marines/odyssey-odx-agm34m-12v-68ah-850a-batterie-marine/",2
15,"ODYSSEY ODP-AGM34M 12V 62Ah 800A BATTERIE MARINE",41505930.0,"4150dhs
5930dhs","https://batteryshop.ma/wp-content/uploads/2025/04/ODP-AGM34M-2-300x300.png","https://batteryshop.ma/shop/batteries-marines/odyssey-odp-agm34m-12v-62ah-800a-batterie-marine/",2
16,"EXIDE DUAL AGM MARINE EP900 G31 12V 100Ah 800A",None,"","https://batteryshop.ma/wp-content/uploads/2022/10/EXIDE-DUAL-AGM-MARINE-EP900-1-300x300.webp","https://batteryshop.ma/shop/batteries-marines/exide-dual-agm-marine-ep900-g31-12v-100ah-800a/",2
17,"EXIDE DUAL AGM MARINE EP800 L5 12V 95Ah 850A",None,"","https://batteryshop.ma/wp-content/uploads/2022/10/EP800_EXIDE-1-300x300.webp","https://batteryshop.ma/shop/batteries-marines/exide-dual-agm-marine-ep800-l5-12v-95ah-850a/",2
18,"EXIDE DUAL AGM MARINE EP600 L3 12V 70Ah 760A",None,"","https://batteryshop.ma/wp-content/uploads/2022/09/EP600_EXIDE-1-300x300.webp","https://batteryshop.ma/shop/batteries-marines/exide-dual-agm-marine-ep600-l3-12v-70ah-760a/",2
19,"EXIDE DUAL AGM MARINE EP500 L2 12V 60Ah 680A",None,"","https://batteryshop.ma/wp-content/uploads/2022/09/EP500_EXIDE-2-300x300.webp","https://batteryshop.ma/shop/batteries-marines/exide-dual-agm-marine-ep500-12v-60ah-680a-2/",2
20,"EXIDE DUAL AGM MARINE EP450 12V 50Ah 750A",None,"","https://batteryshop.ma/wp-content/uploads/2022/09/EP450_EXIDE-1-300x300.webp","https://batteryshop.ma/shop/batteries-marines/exide-dual-agm-marine-ep450-12v-50ah-750a/",2
